timestamp,player,action,position
2026-04-24T13:42:56,Equipo rival,Pase,Rival
2026-04-24T13:43:00,Equipo rival,Pase,Rival
2026-04-24T13:43:13,Equipo rival,Pase,Rival
2026-04-24T13:43:25,Equipo rival,Pase,Rival
2026-04-24T13:44:01,Equipo rival,Despeje,Rival
2026-04-24T13:45:08,Equipo rival,Falta cometida,Rival
2026-04-24T13:46:12,Raphinha,Pase,Atacante
2026-04-24T13:46:25,Raphinha,Pase errado,Atacante
2026-04-24T13:47:14,Equipo rival,Despeje,Rival
2026-04-24T13:47:38,Equipo rival,Pase,Rival
2026-04-24T13:47:39,Equipo rival,Pase,Rival
2026-04-24T13:48:37,Equipo rival,Pase,Rival
2026-04-24T13:48:38,Equipo rival,Pase,Rival
2026-04-24T13:48:39,Equipo rival,Pase,Rival
2026-04-24T13:48:40,Equipo rival,Pase,Rival
2026-04-24T13:48:41,Equipo rival,Pase,Rival
2026-04-24T13:48:42,Equipo rival,Pase,Rival
2026-04-24T13:48:43,Equipo rival,Pase,Rival
2026-04-24T13:48:43,Equipo rival,Pase,Rival
2026-04-24T13:48:44,Equipo rival,Pase,Rival
2026-04-24T13:48:45,Equipo rival,Pase,Rival
2026-04-24T13:48:46,Equipo rival,Pase,Rival
2026-04-24T13:48:50,Equipo rival,Despeje,Rival
2026-04-24T13:48:51,Equipo rival,Perdida,Rival
2026-04-24T13:49:32,Eric Garcia,Pase,Defensa
2026-04-24T13:49:37,Ferran Torres,Perdida,Atacante
2026-04-24T13:49:57,Equipo rival,Pase,Rival
2026-04-24T13:50:00,Equipo rival,Pase,Rival
2026-04-24T13:50:06,Equipo rival,Perdida,Rival
2026-04-24T13:50:18,Cubarsi,Intercepcion,Defensa
2026-04-24T13:51:08,Equipo rival,Pase,Rival
2026-04-24T13:51:28,Equipo rival,Falta recibida,Rival
2026-04-24T13:51:47,Dani Olmo,Falta cometida,Mediocampista
2026-04-24T13:52:17,Equipo rival,Pase,Rival
2026-04-24T13:52:42,Cubarsi,Intercepcion,Defensa
2026-04-24T13:52:54,Szczesny,Falta cometida,Portero
2026-04-24T13:52:56,Equipo rival,Falta recibida,Rival
2026-04-24T13:53:22,Equipo rival,Pase,Rival
2026-04-24T13:57:28,Szczesny,Penalti cometido,Portero
2026-04-24T13:57:33,Equipo rival,Penalti recibido,Rival
2026-04-24T13:58:00,Equipo rival,Gol,Rival
2026-04-24T13:58:57,De Jong,Pase,Mediocampista
2026-04-24T13:59:18,I. Martinez,Pase,Defensa
2026-04-24T13:59:32,Gerard Martin,Perdida,Defensa
2026-04-24T13:59:44,Equipo rival,Recuperacion,Rival
2026-04-24T13:59:54,Equipo rival,Falta recibida,Rival
2026-04-24T13:59:58,Gerard Martin,Falta cometida,Defensa
2026-04-24T14:00:34,Equipo rival,Pase errado,Rival
2026-04-24T14:00:50,Cubarsi,Intercepcion,Defensa
2026-04-24T14:01:01,Equipo rival,Regate,Rival
2026-04-24T14:01:03,Equipo rival,Pase,Rival
2026-04-24T14:01:14,Equipo rival,Pase,Rival
2026-04-24T14:01:46,Equipo rival,Pase,Rival
2026-04-24T14:01:47,Equipo rival,Pase,Rival
2026-04-24T14:01:48,Equipo rival,Pase,Rival
2026-04-24T14:01:49,Equipo rival,Perdida,Rival
2026-04-24T14:01:57,Gerard Martin,Pase,Defensa
2026-04-24T14:02:04,I. Martinez,Pase,Defensa
2026-04-24T14:02:16,De Jong,Pase,Mediocampista
2026-04-24T14:02:22,Raphinha,Pase,Atacante
2026-04-24T14:02:38,De Jong,Pase,Mediocampista
2026-04-24T14:02:45,Gerard Martin,Pase,Defensa
2026-04-24T14:02:52,De Jong,Pase,Mediocampista
2026-04-24T14:02:56,Pedri,Pase,Mediocampista
2026-04-24T14:03:03,De Jong,Pase,Mediocampista
2026-04-24T14:03:12,Cubarsi,Pase,Defensa
2026-04-24T14:03:21,Eric Garcia,Pase,Defensa
2026-04-24T14:03:29,Lamine Yamal,Pase,Atacante
2026-04-24T14:03:47,Eric Garcia,Tiro a puerta,Defensa
2026-04-24T14:03:57,Equipo rival,Parada,Rival
2026-04-24T14:04:36,Raphinha,Pase,Atacante
2026-04-24T14:04:48,Lamine Yamal,Regate,Atacante
2026-04-24T14:04:58,Lamine Yamal,Pase errado,Atacante
2026-04-24T14:05:01,Lamine Yamal,Perdida,Atacante
2026-04-24T14:05:29,Equipo rival,Pase errado,Rival
2026-04-24T14:05:44,Cubarsi,Despeje,Defensa
2026-04-24T14:05:54,Equipo rival,Despeje,Rival
2026-04-24T14:06:05,Szczesny,Recuperacion,Portero
2026-04-24T14:06:09,Szczesny,Pase,Portero
2026-04-24T14:06:16,I. Martinez,Pase,Defensa
2026-04-24T14:06:20,Gerard Martin,Pase,Defensa
2026-04-24T14:06:26,I. Martinez,Pase,Defensa
2026-04-24T14:06:34,Szczesny,Pase,Portero
2026-04-24T14:06:43,Eric Garcia,Pase errado,Defensa
